Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.24170/TO,"SEBASTIÁN CARRIÓN E HIJOS, S.L.",Toledo/VILLAFRANCA DE LOS CABALLEROS,"CP, MM, MP, PP",,MP,
40.34749/TO,"PANIAGUA HERNÁNDEZ, GUILLERMO",Toledo/TOLEDO,CS,,,
40.34750/TO,"GARCAM CONGELADOS, S.L.",Toledo/GUARDIA (LA),CS,,,
40.34751/TO,"DISTRIBUCINES BRAOJOS GÓMEZ, S.L.",Toledo/GALVEZ,CS,,,
14.02870/TO,"GRANJAS OVIMAR, S.A.",Toledo/NOVES,EPC,,,
10.024215/CR,"PÉREZ TAJUELO, FELIPE",Ciudad Real/HERENCIA,PP,,MP,
10.024216/CR,"MADRID SIMON, FELIX",Ciudad Real/VALDEPEÑAS,RW,,MP,
26.013194/CR,"2006 DE BRASERIAS LA CABILA, S.L.",Ciudad Real/BRAZATORTAS,PP,,MP,
10.024243/TO,"TRIPAS VILLAVICIOSA, C.B.",Toledo/TOLEDO,"RW, PP",,ST,
10.024251/CR,"PRODUCTOS CARPU, S.L.",Ciudad Real/HERENCIA,RW,,MP,
10.024252/CR,"SANTILLANA, C.B.",Ciudad Real/ALMADEN,RW,,MP,
10.024253/CR,"SEVILLA MARIN, ANDRES",Ciudad Real/SOLANA (LA),PP,,MP,
